brand,model,rmse,mape
fiat,brava,248.746859276655,0.12538377192982456
fiat,bravo,1236.99,54.19
fiat,cinquecento,1527.17,37.42
fiat,coupe,1799.4,23.15
fiat,croma,1251.68,70.0
fiat,doblò,1996.08,26.21
fiat,doblò cargo,1000.5,0.20846877344336084
fiat,doblò panorama,2994.58,30.38
fiat,ducato,10949.55,67.22
fiat,e-doblò,3198.79,10.09
fiat,e-ulysse,2801.76,35.29
fiat,fiorino,1529.38,22.34
fiat,freemont,2202.42,19.66
fiat,fullback,960.83,3.91
fiat,grande punto,1341.8,37.17
fiat,idea,647.9,31.12
fiat,linea,937.72,24.85
fiat,marea,1110.2,23.23
fiat,multipla,1358.02,80.49
fiat,palio weekend,0.0,0.0
fiat,panda,1396.55,17.75
fiat,panda classic,1350.0,0.6467770034843205
fiat,punto,1086.31,30.33
fiat,punto classic,595.0,0.3483240654927402
fiat,punto evo,1038.79,20.55
fiat,qubo,2195.9,16.98
fiat,sedici,2334.13,44.52
fiat,seicento,160.06,9.25
fiat,stilo,751.27,25.74
fiat,strada,1408.6229978244712,0.27761744834113256
fiat,talento,12316.91,70.21
fiat,tipo,1512.98,7.66
fiat,ulysse,1749.01,48.61
fiat,uno,13733.27,1153.66
ford,b-max,1141.63,10.82
ford,bronco,50353.43,125.96
ford,c-max,1811.86,24.38
ford,connect,0.0,0.0
ford,cougar,1315.47,34.03
ford,courier,3053.14,43.34
ford,ecosport,1563.12,7.27
ford,edge,5986.65,17.66
ford,escort,3406.18,83.63
ford,explorer,35841.49,760.72
ford,fiesta,2084.94,23.47
ford,focus,3219.27,24.73
ford,focus c-max,1151.46,30.68
ford,fusion,1265.56,43.83
ford,galaxy,2284.63,28.97
ford,granada,0.0,0.0
ford,grand c-max,1505.06,10.89
ford,grand tourneo connect,3313.7,50.26
ford,grand tourneo custom,4250.0,0.375
ford,ka,1272.3,43.91
ford,ka+,1197.24,8.41
ford,kuga,2182.43,7.63
ford,maverick,2698.69,34.85
ford,mondeo,1513.08,31.11
ford,mustang,8993.33,27.72
ford,mustang mach-e,10497.53,15.38
ford,orion,537.04,22.87
ford,pickup,7248.922333698989,0.26073606271777006
ford,probe,2124.98,24.04
ford,puma,1732.16,8.51
ford,ranger,9441.94,38.29
ford,s-max,2811.17,29.3
ford,scorpio,2912.47317584214,1.101417594064653
ford,sierra,9517.44,86.21
ford,streetka,1893.1161847305857,0.4720160791589363
ford,tourneo connect,2770.49,56.04
ford,tourneo courier,3163.36,18.47
ford,tourneo custom,8459.58,38.92
ford,transit,5961.56,49.76
ford,transit connect,4991.78,85.73
ford,transit custom,14024.14,62.21
galloper,exceed,2526.71,82.07
galloper,santamo,0.0,0.0
galloper,super exceed,2766.99,27.16
honda,accord,1915.92,48.26
honda,civic,4651.0,56.36
honda,cr-v,1734.26,14.17
honda,cr-z,1901.9118670432656,0.12751773648648648
honda,crx,2368.25,32.08
honda,e:ny1,763.68,1.17
honda,fr-v,1523.9,17.3
honda,honda e,7667.51,34.11
honda,hr-v,1677.99,13.78
honda,insight,1343.85,10.06
honda,jazz,1997.47,9.19
honda,legend,725.0,0.16444235588972433
honda,prelude,3341.4,57.33
honda,s2000,8726.86,30.32
honda,zr-v,11504.9,826.39
hummer,h2,8459.32,18.39
hummer,h3,4061.33,20.95
hyundai,accent,1159.54,73.83
hyundai,atos,540.38,41.26
hyundai,atos prime,846.81,38.22
hyundai,bayon,1273.65,4.49
hyundai,coupe,1392.05,66.91
hyundai,elantra,2897.42,38.33
hyundai,genesis,2500.0,0.14162077104642012
hyundai,getz,687.29,19.76
hyundai,grand santa fe,8846.33,57.73
hyundai,grandeur,0.0,0.0
hyundai,h-1,4874.29,72.35
hyundai,h-1 travel,13779.71,149.9
hyundai,i10,1529.28,10.99
hyundai,i20,3151.19,11.59
hyundai,i20 active,3218.19,27.61
hyundai,i30,5832.55,17.89
hyundai,i40,1236.54,7.86
hyundai,i800,0.0,0.0
hyundai,ioniq,1669.46,6.85
hyundai,ioniq 5,3924.58,6.06
hyundai,ioniq 6,6350.33,14.32
hyundai,ix20,1097.04,8.7
hyundai,ix35,1526.78,10.98
hyundai,ix55,4082.349568569551,0.3850879230064492
hyundai,kona,2880.6,7.85
hyundai,lantra,573.4883511361752,0.5111111111111112
hyundai,matrix,746.24,44.0
hyundai,santa fe,3394.3,37.26
hyundai,scoupe,2263.294059551255,0.7645502645502644
